Label	Text
1	Me encanta este producto, es de muy buena calidad
0	La peor compra que he hecho, se rompió al día siguiente
1	Servicio al cliente excelente, lo recomiendo totalmente
0	No me gustó nada, esperaba mucho más
1	Calidad y diseño sobresalientes, volveré a comprar
0	El envío tardó demasiado y llegó dañado
1	Muy satisfecho con la compra, cumple lo prometido
0	Precio caro para lo que ofrece, no lo vale
1	Funciona perfecto, fácil de usar y muy práctico
0	Bateria dura muy poco, no lo recomiendo
